ESTU_SNIES_PRGMACADEMICO,GRUPOREFERENCIA
2891,INGENIERÍA
2901,INGENIERÍA
2914,ADMINISTRACIÓN Y AFINES
2922,BELLAS ARTES Y DISEÑO
2923,INGENIERÍA
2929,INGENIERÍA
2935,BELLAS ARTES Y DISEÑO
2937,INGENIERÍA
2938,INGENIERÍA
2964,ADMINISTRACIÓN Y AFINES
2966,INGENIERÍA
2971,INGENIERÍA
2972,EDUCACIÓN
2989,DERECHO
2992,INGENIERÍA
2993,INGENIERÍA
2995,CIENCIAS NATURALES Y EXACTAS
2998,CONTADURÍA Y AFINES
3020,PSICOLOGÍA
3026,INGENIERÍA
3040,ADMINISTRACIÓN Y AFINES
3048,CIENCIAS NATURALES Y EXACTAS
3053,INGENIERÍA
3054,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3055,ADMINISTRACIÓN Y AFINES
3078,CIENCIAS SOCIALES
3079,INGENIERÍA
3087,PSICOLOGÍA
3098,EDUCACIÓN
3100,BELLAS ARTES Y DISEÑO
3101,BELLAS ARTES Y DISEÑO
3102,SALUD
3103,CIENCIAS SOCIALES
3104,CIENCIAS AGROPECUARIAS 
3109,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3127,INGENIERÍA
3128,INGENIERÍA
3134,INGENIERÍA
3136,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3137,CIENCIAS NATURALES Y EXACTAS
3139,INGENIERÍA
3140,CIENCIAS SOCIALES
3141,ECONOMÍA
3147,INGENIERÍA
3149,RECREACIÓN Y DEPORTES
3165,ADMINISTRACIÓN Y AFINES
3167,ADMINISTRACIÓN Y AFINES
3173,EDUCACIÓN
3177,DERECHO
3182,ECONOMÍA
3190,CONTADURÍA Y AFINES
3193,INGENIERÍA
3203,INGENIERÍA
3204,INGENIERÍA
3205,ADMINISTRACIÓN Y AFINES
3229,ECONOMÍA
3237,INGENIERÍA
3251,CIENCIAS AGROPECUARIAS 
3252,CONTADURÍA Y AFINES
3254,DERECHO
3255,DERECHO
3267,SALUD
3269,INGENIERÍA
3271,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3274,PSICOLOGÍA
3275,SALUD
3290,EDUCACIÓN
3306,SALUD
3312,EDUCACIÓN
3315,CIENCIAS NATURALES Y EXACTAS
3318,CIENCIAS SOCIALES
3319,CIENCIAS SOCIALES
3345,CIENCIAS NATURALES Y EXACTAS
3347,INGENIERÍA
3348,INGENIERÍA
3425,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3426,CIENCIAS NATURALES Y EXACTAS
3431,ADMINISTRACIÓN Y AFINES
3435,SALUD
3436,SALUD
3437,CONTADURÍA Y AFINES
3439,SALUD
3474,INGENIERÍA
3483,INGENIERÍA
3488,MEDICINA
3489,ENFERMERÍA
3518,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3521,INGENIERÍA
3527,ADMINISTRACIÓN Y AFINES
3529,MEDICINA
3549,INGENIERÍA
3554,CIENCIAS AGROPECUARIAS 
3560,CIENCIAS NATURALES Y EXACTAS
3563,SALUD
3568,BELLAS ARTES Y DISEÑO
3571,ADMINISTRACIÓN Y AFINES
3573,ENFERMERÍA
3602,ECONOMÍA
3607,CIENCIAS AGROPECUARIAS 
3608,CIENCIAS NATURALES Y EXACTAS
3612,SALUD
3615,ARQUITECTURA Y URBANISMO 
3617,INGENIERÍA
3618,INGENIERÍA
3636,CIENCIAS NATURALES Y EXACTAS
3638,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3642,ARQUITECTURA Y URBANISMO 
3643,INGENIERÍA
3661,ADMINISTRACIÓN Y AFINES
3662,INGENIERÍA
3678,INGENIERÍA
3679,PSICOLOGÍA
3680,ENFERMERÍA
3684,INGENIERÍA
3685,INGENIERÍA
3687,PSICOLOGÍA
3689,INGENIERÍA
3695,INGENIERÍA
3697,INGENIERÍA
3699,INGENIERÍA
3701,EDUCACIÓN
3707,CIENCIAS SOCIALES
3709,INGENIERÍA
3723,EDUCACIÓN
3725,ARQUITECTURA Y URBANISMO 
3728,ADMINISTRACIÓN Y AFINES
3729,RECREACIÓN Y DEPORTES
3731,INGENIERÍA
3778,BELLAS ARTES Y DISEÑO
3788,SALUD
3789,SALUD
3790,SALUD
3801,EDUCACIÓN
3802,PSICOLOGÍA
3827,INGENIERÍA
3828,INGENIERÍA
3830,INGENIERÍA
3831,INGENIERÍA
3833,INGENIERÍA
3835,DERECHO
3843,SALUD
3849,ADMINISTRACIÓN Y AFINES
3852,ADMINISTRACIÓN Y AFINES
3853,SALUD
3854,INGENIERÍA
3855,DERECHO
3888,PSICOLOGÍA
3904,INGENIERÍA
3905,INGENIERÍA
3918,HUMANIDADES
3926,MEDICINA
3928,PSICOLOGÍA
3929,INGENIERÍA
3938,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
3961,EDUCACIÓN
3965,EDUCACIÓN
4000,MEDICINA
4010,CIENCIAS NATURALES Y EXACTAS
4017,INGENIERÍA
4019,INGENIERÍA
4035,PSICOLOGÍA
4036,PSICOLOGÍA
4041,SALUD
4045,CONTADURÍA Y AFINES
4057,ADMINISTRACIÓN Y AFINES
4064,PSICOLOGÍA
4065,ADMINISTRACIÓN Y AFINES
4066,SALUD
4067,SALUD
4068,SALUD
4069,SALUD
4071,SALUD
4072,INGENIERÍA
4073,ECONOMÍA
4074,HUMANIDADES
4078,CIENCIAS NATURALES Y EXACTAS
4080,CIENCIAS SOCIALES
4083,INGENIERÍA
4084,INGENIERÍA
4086,INGENIERÍA
4087,INGENIERÍA
4088,INGENIERÍA
4090,INGENIERÍA
4092,ARQUITECTURA Y URBANISMO 
4093,CIENCIAS NATURALES Y EXACTAS
4095,BELLAS ARTES Y DISEÑO
4096,BELLAS ARTES Y DISEÑO
4099,EDUCACIÓN
4112,INGENIERÍA
4113,INGENIERÍA
4114,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
4115,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
4118,INGENIERÍA
4120,ADMINISTRACIÓN Y AFINES
4121,INGENIERÍA
4122,INGENIERÍA
4123,INGENIERÍA
4124,INGENIERÍA
4125,INGENIERÍA
4126,ARQUITECTURA Y URBANISMO 
4144,ADMINISTRACIÓN Y AFINES
4148,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
4154,RECREACIÓN Y DEPORTES
4157,INGENIERÍA
4158,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
4159,INGENIERÍA
4160,ADMINISTRACIÓN Y AFINES
4164,INGENIERÍA
4167,INGENIERÍA
4169,INGENIERÍA
4175,ADMINISTRACIÓN Y AFINES
4176,ENFERMERÍA
4206,CIENCIAS AGROPECUARIAS 
4208,INGENIERÍA
4209,BELLAS ARTES Y DISEÑO
4229,INGENIERÍA
4230,INGENIERÍA
4239,CIENCIAS SOCIALES
4240,INGENIERÍA
4241,INGENIERÍA
4245,CIENCIAS AGROPECUARIAS 
4247,CIENCIAS SOCIALES
4254,CIENCIAS MILITARES Y NAVALES
4255,INGENIERÍA
4261,EDUCACIÓN
4282,INGENIERÍA
4292,PSICOLOGÍA
4293,ADMINISTRACIÓN Y AFINES
4312,INGENIERÍA
4318,INGENIERÍA
4319,INGENIERÍA
4322,PSICOLOGÍA
4336,CIENCIAS AGROPECUARIAS 
4338,CIENCIAS AGROPECUARIAS 
4340,SALUD
4343,BELLAS ARTES Y DISEÑO
4345,INGENIERÍA
4347,EDUCACIÓN
4349,INGENIERÍA
4350,INGENIERÍA
4354,DERECHO
4355,DERECHO
4356,CIENCIAS AGROPECUARIAS 
4361,INGENIERÍA
4368,CIENCIAS SOCIALES
4378,EDUCACIÓN
4382,INGENIERÍA
4389,ARQUITECTURA Y URBANISMO 
4400,INGENIERÍA
4405,INGENIERÍA
4438,EDUCACIÓN
4442,ENFERMERÍA
4443,CIENCIAS AGROPECUARIAS 
4448,SALUD
4450,EDUCACIÓN
4458,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
4465,CIENCIAS AGROPECUARIAS 
4466,INGENIERÍA
4467,DERECHO
4481,PSICOLOGÍA
4489,INGENIERÍA
4492,CIENCIAS NATURALES Y EXACTAS
4493,CIENCIAS SOCIALES
4498,INGENIERÍA
4516,EDUCACIÓN
4541,EDUCACIÓN
4549,EDUCACIÓN
4565,CONTADURÍA Y AFINES
4627,INGENIERÍA
4631,SALUD
4633,SALUD
4634,CIENCIAS NATURALES Y EXACTAS
4674,ADMINISTRACIÓN Y AFINES
4678,ADMINISTRACIÓN Y AFINES
4687,ADMINISTRACIÓN Y AFINES
4688,CONTADURÍA Y AFINES
4689,INGENIERÍA
4690,INGENIERÍA
4709,INGENIERÍA
4753,CIENCIAS SOCIALES
4768,CIENCIAS AGROPECUARIAS 
4770,ADMINISTRACIÓN Y AFINES
4783,MEDICINA
4797,INGENIERÍA
4803,PSICOLOGÍA
4814,ARQUITECTURA Y URBANISMO 
4822,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
4827,INGENIERÍA
4828,INGENIERÍA
4830,INGENIERÍA
4832,ENFERMERÍA
4863,CIENCIAS SOCIALES
4876,BELLAS ARTES Y DISEÑO
4879,INGENIERÍA
4899,PSICOLOGÍA
4902,INGENIERÍA
4911,MEDICINA
4925,ADMINISTRACIÓN Y AFINES
4940,INGENIERÍA
4948,HUMANIDADES
4950,INGENIERÍA
4952,INGENIERÍA
4953,INGENIERÍA
4959,BELLAS ARTES Y DISEÑO
4963,BELLAS ARTES Y DISEÑO
4978,INGENIERÍA
4981,CIENCIAS NATURALES Y EXACTAS
4995,INGENIERÍA
5000,INGENIERÍA
5002,DERECHO
5004,INGENIERÍA
5006,EDUCACIÓN
5019,ENFERMERÍA
5022,INGENIERÍA
5023,INGENIERÍA
5028,INGENIERÍA
5037,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
5045,ADMINISTRACIÓN Y AFINES
5063,INGENIERÍA
5064,INGENIERÍA
5091,ADMINISTRACIÓN Y AFINES
5093,INGENIERÍA
5094,ADMINISTRACIÓN Y AFINES
5095,INGENIERÍA
5097,INGENIERÍA
5098,ENFERMERÍA
5100,INGENIERÍA
5110,DERECHO
5114,DERECHO
5116,MEDICINA
5129,CIENCIAS AGROPECUARIAS 
5131,PSICOLOGÍA
5132,PSICOLOGÍA
5134,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
5223,PSICOLOGÍA
5243,INGENIERÍA
5244,ADMINISTRACIÓN Y AFINES
5268,SALUD
5269,SALUD
5284,BELLAS ARTES Y DISEÑO
5305,SALUD
5306,SALUD
5314,INGENIERÍA
5315,CIENCIAS NATURALES Y EXACTAS
5319,BELLAS ARTES Y DISEÑO
5369,PSICOLOGÍA
5370,ADMINISTRACIÓN Y AFINES
5371,CONTADURÍA Y AFINES
5373,DERECHO
5376,PSICOLOGÍA
5377,INGENIERÍA
5379,SALUD
5381,SALUD
5382,SALUD
5383,SALUD
5384,SALUD
5385,ADMINISTRACIÓN Y AFINES
5390,PSICOLOGÍA
5391,CONTADURÍA Y AFINES
5394,CONTADURÍA Y AFINES
5406,PSICOLOGÍA
5407,PSICOLOGÍA
5408,DERECHO
5415,MEDICINA
5427,ADMINISTRACIÓN Y AFINES
5428,INGENIERÍA
5456,ARQUITECTURA Y URBANISMO 
5461,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
5484,ENFERMERÍA
5499,CIENCIAS AGROPECUARIAS 
5505,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
5506,ADMINISTRACIÓN Y AFINES
5519,ADMINISTRACIÓN Y AFINES
5528,ARQUITECTURA Y URBANISMO 
5529,ARQUITECTURA Y URBANISMO 
5530,INGENIERÍA
5536,ADMINISTRACIÓN Y AFINES
5539,ARQUITECTURA Y URBANISMO 
5541,ARQUITECTURA Y URBANISMO 
5542,ARQUITECTURA Y URBANISMO 
5544,ADMINISTRACIÓN Y AFINES
5545,ADMINISTRACIÓN Y AFINES
5550,ADMINISTRACIÓN Y AFINES
5577,CONTADURÍA Y AFINES
5579,ADMINISTRACIÓN Y AFINES
5580,ADMINISTRACIÓN Y AFINES
5595,ADMINISTRACIÓN Y AFINES
5608,INGENIERÍA
5609,CONTADURÍA Y AFINES
5621,MEDICINA
5731,INGENIERÍA
5795,ADMINISTRACIÓN Y AFINES
5798,CONTADURÍA Y AFINES
5814,SALUD
5816,SALUD
5923,ADMINISTRACIÓN Y AFINES
5924,CONTADURÍA Y AFINES
5961,INGENIERÍA
5983,INGENIERÍA
5985,INGENIERÍA
6008,ADMINISTRACIÓN Y AFINES
6011,ADMINISTRACIÓN Y AFINES
6012,ADMINISTRACIÓN Y AFINES
6062,INGENIERÍA
6065,INGENIERÍA
6067,INGENIERÍA
6081,INGENIERÍA
6082,INGENIERÍA
6083,INGENIERÍA
6084,INGENIERÍA
6088,INGENIERÍA
6176,MEDICINA
6182,SALUD
6183,SALUD
6184,SALUD
6185,SALUD
6186,SALUD
6187,SALUD
6188,SALUD
6190,INGENIERÍA
6194,DERECHO
6195,CONTADURÍA Y AFINES
6243,BELLAS ARTES Y DISEÑO
6244,SALUD
6294,ADMINISTRACIÓN Y AFINES
6357,INGENIERÍA
6358,CONTADURÍA Y AFINES
6359,ADMINISTRACIÓN Y AFINES
6410,INGENIERÍA
6506,INGENIERÍA
6525,ECONOMÍA
6527,ADMINISTRACIÓN Y AFINES
6544,INGENIERÍA
6564,INGENIERÍA
6566,CIENCIAS AGROPECUARIAS 
6574,CIENCIAS AGROPECUARIAS 
6575,MEDICINA
6591,ECONOMÍA
6632,ADMINISTRACIÓN Y AFINES
6644,INGENIERÍA
6646,ENFERMERÍA
6647,INGENIERÍA
6658,CIENCIAS AGROPECUARIAS 
6660,SALUD
6664,SALUD
6686,SALUD
6687,PSICOLOGÍA
6699,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
6710,INGENIERÍA
6726,ADMINISTRACIÓN Y AFINES
6756,CONTADURÍA Y AFINES
6827,ADMINISTRACIÓN Y AFINES
7073,ADMINISTRACIÓN Y AFINES
7093,ECONOMÍA
7094,INGENIERÍA
7095,INGENIERÍA
7108,ARQUITECTURA Y URBANISMO 
7112,INGENIERÍA
7113,BELLAS ARTES Y DISEÑO
7126,INGENIERÍA
7150,ADMINISTRACIÓN Y AFINES
7171,CIENCIAS AGROPECUARIAS 
7198,INGENIERÍA
7214,CIENCIAS AGROPECUARIAS 
7215,RECREACIÓN Y DEPORTES
7227,DERECHO
7234,INGENIERÍA
7238,MEDICINA
7245,CIENCIAS SOCIALES
7246,DERECHO
7247,INGENIERÍA
7255,ADMINISTRACIÓN Y AFINES
7258,HUMANIDADES
7286,DERECHO
7306,SALUD
7309,MEDICINA
7322,MEDICINA
7348,ADMINISTRACIÓN Y AFINES
7349,CIENCIAS NATURALES Y EXACTAS
7351,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
7400,SALUD
7403,INGENIERÍA
7404,INGENIERÍA
7405,SALUD
7406,ENFERMERÍA
7446,INGENIERÍA
7470,ADMINISTRACIÓN Y AFINES
7511,INGENIERÍA
7518,CONTADURÍA Y AFINES
7519,INGENIERÍA
7520,INGENIERÍA
7543,CONTADURÍA Y AFINES
7561,INGENIERÍA
7567,INGENIERÍA
7570,INGENIERÍA
7571,INGENIERÍA
7620,CONTADURÍA Y AFINES
7731,INGENIERÍA
7741,INGENIERÍA
7745,INGENIERÍA
7750,INGENIERÍA
7772,INGENIERÍA
7773,INGENIERÍA
7777,INGENIERÍA
7791,EDUCACIÓN
7800,DERECHO
7821,INGENIERÍA
7822,CIENCIAS NATURALES Y EXACTAS
7824,INGENIERÍA
7856,INGENIERÍA
7874,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
7915,INGENIERÍA
7943,CIENCIAS NATURALES Y EXACTAS
7945,SALUD
7950,ENFERMERÍA
8015,SALUD
8025,ARQUITECTURA Y URBANISMO 
8026,SALUD
8042,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
8043,BELLAS ARTES Y DISEÑO
8085,ARQUITECTURA Y URBANISMO 
8091,SALUD
8093,SALUD
8100,CIENCIAS NATURALES Y EXACTAS
8105,CIENCIAS NATURALES Y EXACTAS
8114,INGENIERÍA
8120,BELLAS ARTES Y DISEÑO
8167,HUMANIDADES
8170,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
8182,ADMINISTRACIÓN Y AFINES
8189,INGENIERÍA
8198,INGENIERÍA
8207,INGENIERÍA
8241,DERECHO
8255,ECONOMÍA
8345,DERECHO
8359,ADMINISTRACIÓN Y AFINES
8380,DERECHO
8410,CONTADURÍA Y AFINES
8413,ADMINISTRACIÓN Y AFINES
8441,ECONOMÍA
8444,CIENCIAS NATURALES Y EXACTAS
8453,BELLAS ARTES Y DISEÑO
8455,BELLAS ARTES Y DISEÑO
8460,HUMANIDADES
8470,SALUD
8559,ENFERMERÍA
8562,PSICOLOGÍA
8622,ADMINISTRACIÓN Y AFINES
8630,DERECHO
8690,ADMINISTRACIÓN Y AFINES
8704,INGENIERÍA
8742,INGENIERÍA
8863,INGENIERÍA
8893,DERECHO
8894,DERECHO
8895,DERECHO
8903,CIENCIAS AGROPECUARIAS 
8922,CONTADURÍA Y AFINES
8923,DERECHO
8939,DERECHO
8958,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
8966,CONTADURÍA Y AFINES
8967,INGENIERÍA
8971,CONTADURÍA Y AFINES
8973,INGENIERÍA
8990,SALUD
8995,SALUD
9001,DERECHO
9011,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
9017,ADMINISTRACIÓN Y AFINES
9105,INGENIERÍA
9107,INGENIERÍA
9113,INGENIERÍA
9120,ADMINISTRACIÓN Y AFINES
9144,DERECHO
9225,HUMANIDADES
9245,INGENIERÍA
9252,INGENIERÍA
9254,RECREACIÓN Y DEPORTES
9278,EDUCACIÓN
9312,CONTADURÍA Y AFINES
9335,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
9362,INGENIERÍA
9363,HUMANIDADES
9376,ADMINISTRACIÓN Y AFINES
9379,INGENIERÍA
9385,ARQUITECTURA Y URBANISMO 
9395,DERECHO
9399,BELLAS ARTES Y DISEÑO
9426,SALUD
9440,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
9451,DERECHO
9480,CIENCIAS SOCIALES
9486,CIENCIAS MILITARES Y NAVALES
9487,CIENCIAS MILITARES Y NAVALES
9488,CIENCIAS MILITARES Y NAVALES
9491,ADMINISTRACIÓN Y AFINES
9502,INGENIERÍA
9503,ADMINISTRACIÓN Y AFINES
9513,INGENIERÍA
9517,ADMINISTRACIÓN Y AFINES
9528,INGENIERÍA
9547,BELLAS ARTES Y DISEÑO
9548,BELLAS ARTES Y DISEÑO
9570,EDUCACIÓN
9571,EDUCACIÓN
9580,ADMINISTRACIÓN Y AFINES
9672,SALUD
9686,CIENCIAS SOCIALES
9687,CIENCIAS SOCIALES
9689,CIENCIAS SOCIALES
9691,HUMANIDADES
9693,HUMANIDADES
9717,INGENIERÍA
9727,INGENIERÍA
9761,CIENCIAS NATURALES Y EXACTAS
9766,INGENIERÍA
9806,INGENIERÍA
9809,ADMINISTRACIÓN Y AFINES
9818,INGENIERÍA
9829,INGENIERÍA
9833,INGENIERÍA
9839,INGENIERÍA
9853,INGENIERÍA
9869,CIENCIAS AGROPECUARIAS 
9877,INGENIERÍA
9882,ECONOMÍA
9888,ARQUITECTURA Y URBANISMO 
9897,BELLAS ARTES Y DISEÑO
9899,INGENIERÍA
9915,BELLAS ARTES Y DISEÑO
9942,INGENIERÍA
9963,INGENIERÍA
9968,SALUD
9980,ECONOMÍA
9991,ADMINISTRACIÓN Y AFINES
10036,INGENIERÍA
10052,INGENIERÍA
10059,MEDICINA
10062,ENFERMERÍA
10064,BELLAS ARTES Y DISEÑO
10093,CONTADURÍA Y AFINES
10103,SALUD
10111,INGENIERÍA
10149,INGENIERÍA
10159,CONTADURÍA Y AFINES
10163,CIENCIAS MILITARES Y NAVALES
10164,PSICOLOGÍA
10191,ADMINISTRACIÓN Y AFINES
10192,EDUCACIÓN
10213,DERECHO
10223,CIENCIAS NATURALES Y EXACTAS
10228,INGENIERÍA
10233,ECONOMÍA
10252,CONTADURÍA Y AFINES
10264,EDUCACIÓN
10276,EDUCACIÓN
10282,EDUCACIÓN
10286,PSICOLOGÍA
10305,INGENIERÍA
10333,INGENIERÍA
10339,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
10355,EDUCACIÓN
10358,EDUCACIÓN
10359,EDUCACIÓN
10380,ADMINISTRACIÓN Y AFINES
10401,EDUCACIÓN
10416,DERECHO
10420,EDUCACIÓN
10438,ADMINISTRACIÓN Y AFINES
10462,EDUCACIÓN
10463,EDUCACIÓN
10464,EDUCACIÓN
10471,EDUCACIÓN
10472,EDUCACIÓN
10473,EDUCACIÓN
10475,EDUCACIÓN
10476,EDUCACIÓN
10480,EDUCACIÓN
10484,EDUCACIÓN
10495,EDUCACIÓN
10522,CIENCIAS NATURALES Y EXACTAS
10528,BELLAS ARTES Y DISEÑO
10533,DERECHO
10547,ECONOMÍA
10550,EDUCACIÓN
10554,DERECHO
10555,INGENIERÍA
10561,INGENIERÍA
10569,CONTADURÍA Y AFINES
10571,ADMINISTRACIÓN Y AFINES
10574,ADMINISTRACIÓN Y AFINES
10578,INGENIERÍA
10587,INGENIERÍA
10611,CIENCIAS SOCIALES
10614,CIENCIAS NATURALES Y EXACTAS
10615,INGENIERÍA
10625,INGENIERÍA
10658,EDUCACIÓN
10667,EDUCACIÓN
10672,EDUCACIÓN
10688,DERECHO
10737,EDUCACIÓN
10748,EDUCACIÓN
10750,EDUCACIÓN
10753,EDUCACIÓN
10754,EDUCACIÓN
10755,EDUCACIÓN
10766,INGENIERÍA
10776,EDUCACIÓN
10784,EDUCACIÓN
10793,EDUCACIÓN
10798,EDUCACIÓN
10799,EDUCACIÓN
10829,DERECHO
10835,EDUCACIÓN
10839,CIENCIAS SOCIALES
10841,EDUCACIÓN
10851,BELLAS ARTES Y DISEÑO
10852,BELLAS ARTES Y DISEÑO
10862,ADMINISTRACIÓN Y AFINES
10872,ADMINISTRACIÓN Y AFINES
10880,EDUCACIÓN
10883,EDUCACIÓN
10886,EDUCACIÓN
10903,ADMINISTRACIÓN Y AFINES
10922,EDUCACIÓN
10923,CIENCIAS AGROPECUARIAS 
10955,CIENCIAS SOCIALES
10963,CIENCIAS SOCIALES
10969,CONTADURÍA Y AFINES
10977,CONTADURÍA Y AFINES
10980,ADMINISTRACIÓN Y AFINES
10993,BELLAS ARTES Y DISEÑO
10995,INGENIERÍA
11001,ADMINISTRACIÓN Y AFINES
11004,INGENIERÍA
11058,ADMINISTRACIÓN Y AFINES
11067,BELLAS ARTES Y DISEÑO
11070,HUMANIDADES
11102,ADMINISTRACIÓN Y AFINES
11123,ADMINISTRACIÓN Y AFINES
11128,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD"
11185,CIENCIAS NATURALES Y EXACTAS
11203,CIENCIAS NATURALES Y EXACTAS
11212,DERECHO
11221,INGENIERÍA
11239,EDUCACIÓN
11247,ADMINISTRACIÓN Y AFINES
11255,ADMINISTRACIÓN Y AFINES
